learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.001411,1.054197135898802E-12,200.0,58.5,1.7751479289940455,20.95238095238095,-13.698630136986315,200.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.002458,1.8364398015869986E-12,400.0,60.5,9.260588657573576,19.796954314720814,-3.267973856209168,400.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.003505,2.6186824672751954E-12,600.0,61.66666666666667,12.414318354912417,19.29824561403509,0.8620689655172611,600.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.004554,3.40241938829422E-12,800.0,61.625,14.790862915984338,16.802168021680217,4.658385093167686,800.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.005618,4.19736322429445E-12,1000.0,62.1,15.889924545051043,19.70338983050847,4.773869346733672,1000.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.006836,5.107364720768398E-12,1200.0,63.6,21.063132145521415,19.29046563192904,12.077294685990347,1200.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,0.008299,6.200412495268715E-12,1400.0,64.4,24.36057061025724,22.440087145969496,16.62763466042156,1400.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,0.009613,7.182138247622384E-12,1600.0,64.9,25.79281183932347,24.025974025974026,17.411764705882366,1600.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,0.010538,7.873231338130102E-12,1800.0,67.4,30.415330826008447,31.512605042016812,20.681265206812668,1800.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.011921,8.906508899397319E-12,2000.0,66.7,29.055954186763937,30.334728033472807,18.978102189781037,2000.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2200.0,0.013114,9.797832204235924E-12,2200.0,67.30000000000001,30.118648704096294,34.99005964214712,19.059405940594075,2200.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2400.0,0.014046,1.049415518840154E-11,2400.0,67.60000000000001,30.2265483676458,35.58648111332009,16.923076923076938,2400.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2600.0,0.014931,1.115536317229271E-11,2600.0,68.10000000000001,32.27291256199471,36.58051689860836,21.039603960396057,2600.0,2888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2800.0,0.01581,1.1275429278612137E-11,2800.0,67.7,32.00858838883511,35.01006036217304,21.980676328502433,2800.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3000.0,0.017606,1.393680978152487E-11,3000.0,68.5,33.934563758389274,35.31827515400411,25.00000000000002,3000.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3200.0,0.018619,1.5437911368078657E-11,3200.0,68.0,32.753613442552684,31.76972281449894,23.627684964200498,3200.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3400.0,0.019584,1.6867884745200476E-11,3400.0,67.30000000000001,31.15615552392903,30.720338983050855,23.23943661971833,3400.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3600.0,0.020516,1.8248957478337818E-11,3600.0,67.0,29.50977250881128,29.33618843683084,19.315403422982904,3600.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3800.0,0.021526,1.9745613551802106E-11,3800.0,66.4,28.259087182290248,29.41176470588236,18.84057971014494,3800.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.022464,2.1135577311118445E-11,4000.0,67.4,30.474098402610434,32.505175983436864,21.44578313253014,4000.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4200.0,0.023546,2.2738925698730682E-11,4200.0,67.4,30.778214247797013,33.05954825462013,21.822541966426876,4200.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4400.0,0.024499,2.415111702349451E-11,4400.0,67.9,32.56075834481832,33.95061728395062,23.75296912114016,4400.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4600.0,0.025425,2.5523298730452858E-11,4600.0,67.30000000000001,31.780629871322002,33.939393939393945,25.171624713958828,4600.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4800.0,0.026275,2.678286077247726E-11,4800.0,67.4,30.54608671938916,32.505175983436864,20.873786407767007,4800.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.027122,2.8037977301412162E-11,5000.0,65.5,27.153100955244565,28.719008264462815,17.4641148325359,5000.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5200.0,0.027931,2.923678399788009E-11,5200.0,65.9,27.908805696261414,30.69105691056911,19.194312796208546,5200.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5400.0,0.02874,3.043559069434802E-11,5400.0,65.2,25.91961852861035,30.120481927710845,16.34615384615386,5400.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5600.0,0.029544,3.1626988202333455E-11,5600.0,66.5,28.494586933506383,32.86573146292586,18.68932038834953,5600.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5800.0,0.030336,3.28006036579609E-11,5800.0,66.7,29.785349808122135,32.17922606924644,21.090047393364948,5800.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.031119,3.3960882574319846E-11,6000.0,67.80000000000001,31.44647928704339,33.47107438016529,23.15035799522675,6000.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6200.0,0.031904,3.512412516607179E-11,6200.0,67.80000000000001,31.0146840172592,33.60824742268042,22.033898305084765,6200.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6400.0,0.032716,3.632737737562922E-11,6400.0,69.5,33.609633351037424,36.590436590436575,23.366834170854265,6400.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6600.0,0.033501,3.749061996738117E-11,6600.0,69.3,33.43682786373412,36.96098562628335,23.057644110275678,6600.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6800.0,0.03505,4.0924052397410084E-11,6800.0,69.39999999999999,33.12937062937062,39.04382470119521,23.499999999999993,6800.0,8568.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.03666,4.5668913258446593E-11,7000.0,69.69999999999999,33.53805659135774,40.47151277013752,23.29113924050632,7000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7200.0,0.037778,4.8963791794247104E-11,7200.0,69.89999999999999,35.50460681379901,40.51383399209485,26.585365853658534,7200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7400.0,0.038704,5.1692823568979906E-11,7400.0,70.19999999999999,36.89542428297954,40.04024144869214,29.383886255924168,7400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7600.0,0.039642,5.4457220766279436E-11,7600.0,69.19999999999999,35.042749463259064,37.777777777777764,27.86885245901639,7600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7800.0,0.040633,5.7377815246582035E-11,7800.0,68.2,33.277381451951335,35.10204081632654,24.644549763033194,7800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.041589,6.019526057773167E-11,8000.0,66.9,31.719915505973994,32.310838445807775,24.08256880733947,8000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8200.0,0.042505,6.289482116699219E-11,8200.0,65.5,28.46597883422355,25.806451612903224,19.392523364485996,8200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8400.0,0.043441,6.565332412719728E-11,8400.0,63.5,24.212222388332428,20.479302832244002,13.915094339622652,8400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8600.0,0.04436,6.836172607209948E-11,8600.0,64.3,25.704248801278645,19.955156950672638,13.559322033898317,8600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8800.0,0.045275,7.105833954281277E-11,8800.0,64.0,25.60261878781867,19.821826280623604,15.09433962264152,8800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.046197,7.377558284335667E-11,9000.0,66.2,28.641701114287294,23.006833712984054,15.710723192019962,9000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9200.0,0.047132,7.653113868501452E-11,9200.0,67.60000000000001,31.12098471481112,28.947368421052634,17.97468354430381,9200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9400.0,0.048068,7.92896416452196E-11,9400.0,68.4,33.21159243853777,30.396475770925115,22.549019607843153,9400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9600.0,0.048982,8.198330799738568E-11,9600.0,68.5,33.481433929114445,32.6923076923077,23.728813559322052,9600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9800.0,0.049896,8.467697434955175E-11,9800.0,69.0,34.56602499155689,33.47639484978539,26.190476190476186,9800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.050834,8.744137154685128E-11,10000.0,68.60000000000001,33.542160514730796,32.18142548596113,25.23809523809526,10000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10200.0,0.051768,9.019398026996191E-11,10200.0,68.2,32.550523475811524,32.3404255319149,23.923444976076574,10200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10400.0,0.052698,9.293480051888361E-11,10400.0,68.7,32.89022298456262,33.54564755838642,22.524752475247542,10400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10600.0,0.053633,9.569035636054146E-11,10600.0,68.4,31.862189121237876,32.478632478632484,21.197007481296776,10600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
